scenario;seed;n_real;n_synth;best_val_iou;test_iou;test_dice;epochs_run;elapsed_s;source_path
A;42;3998;0;0.429;0.473;0.5004;63;274.0;results/N3998/scenario_A_seed42_train/result.csv
B;123;3998;1200;0.4381;0.4642;0.4941;46;260.3;results/N3998/scenario_B_seed123_train_clahe1600clean_ns1200/result.csv
B;123;3998;1200;0.4417;0.4708;0.4985;57;319.9;results/N3998/scenario_B_seed123_train_elastic_transform1600clean_ns1200/result.csv
B;123;3998;1200;0.4382;0.4718;0.5006;55;308.9;results/N3998/scenario_B_seed123_train_grid_distortion1600clean_ns1200/result.csv
B;123;3998;1200;0.4314;0.4717;0.5004;56;431.9;results/N3998/scenario_B_seed123_train_optical_distortion1600clean_ns1200/result.csv
B;123;3998;1200;0.4437;0.4854;0.512;74;417.4;results/N3998/scenario_B_seed123_train_random_brightness_contrast1600clean_ns1200/result.csv
B;123;3998;1200;0.452;0.4767;0.5052;55;309.1;results/N3998/scenario_B_seed123_train_random_gamma1600clean_ns1200/result.csv
B;42;3998;1200;0.4284;0.467;0.4972;53;298.8;results/N3998/scenario_B_seed42_train_clahe1600clean_ns1200/result.csv
B;42;3998;1200;0.4244;0.4704;0.4998;53;295.4;results/N3998/scenario_B_seed42_train_elastic_transform1600clean_ns1200/result.csv
B;42;3998;1200;0.4263;0.4764;0.5037;57;319.8;results/N3998/scenario_B_seed42_train_grid_distortion1600clean_ns1200/result.csv
B;42;3998;1200;0.4218;0.4498;0.4813;38;213.3;results/N3998/scenario_B_seed42_train_optical_distortion1600clean_ns1200/result.csv
B;42;3998;1200;0.4227;0.4463;0.4779;41;229.7;results/N3998/scenario_B_seed42_train_random_brightness_contrast1600clean_ns1200/result.csv
B;42;3998;1200;0.436;0.4829;0.5103;57;317.9;results/N3998/scenario_B_seed42_train_random_gamma1600clean_ns1200/result.csv
B;456;3998;1200;0.4455;0.4738;0.5017;53;292.7;results/N3998/scenario_B_seed456_train_clahe1600clean_ns1200/result.csv
B;456;3998;1200;0.4389;0.4587;0.4879;47;265.1;results/N3998/scenario_B_seed456_train_elastic_transform1600clean_ns1200/result.csv
B;456;3998;1200;0.4485;0.4841;0.5115;64;359.0;results/N3998/scenario_B_seed456_train_grid_distortion1600clean_ns1200/result.csv
B;456;3998;1200;0.4459;0.498;0.5229;79;446.6;results/N3998/scenario_B_seed456_train_optical_distortion1600clean_ns1200/result.csv
B;456;3998;1200;0.4473;0.4723;0.501;56;314.6;results/N3998/scenario_B_seed456_train_random_brightness_contrast1600clean_ns1200/result.csv
B;456;3998;1200;0.4591;0.5015;0.525;79;440.7;results/N3998/scenario_B_seed456_train_random_gamma1600clean_ns1200/result.csv
A;123;1200;0;0.4016;0.4167;0.4523;57;86.2;results/scenario_A_seed123_nreal1200_train/result.csv
A;42;1200;0;0.3786;0.3988;0.4354;49;74.3;results/scenario_A_seed42_nreal1200_train/result.csv
A;456;1200;0;0.3803;0.4089;0.4432;46;69.4;results/scenario_A_seed456_nreal1200_train/result.csv
B;123;1200;1200;0.423;0.4192;0.4535;43;121.3;results/scenario_B_seed123_nreal1200_train_clahe1600clean_ns1200/result.csv
B;123;1200;1200;0.4404;0.4335;0.4672;62;173.9;results/scenario_B_seed123_nreal1200_train_elastic_transform1600clean_ns1200/result.csv
B;123;1200;1200;0.4357;0.4314;0.4656;53;148.8;results/scenario_B_seed123_nreal1200_train_grid_distortion1600clean_ns1200/result.csv
B;123;1200;1200;0.4184;0.4135;0.451;60;168.2;results/scenario_B_seed123_nreal1200_train_optical_distortion1600clean_ns1200/result.csv
