scenario;seed;n_real;n_synth;best_val_iou;test_iou;test_dice;epochs_run;elapsed_s;Data augmentation method
B;123;1200;1200;0.4404;0.4335;0.4672;62;173.9;context seismic
B;42;1200;1200;0.4128;0.428;0.4641;51;192.5;context seismic
B;456;1200;1200;0.4168;0.4214;0.4564;55;152.7;context seismic
B;123;1200;1200;0.4357;0.4314;0.4656;53;148.8;elastic transform
B;42;1200;1200;0.4082;0.4246;0.4592;74;207.7;elastic transform
B;456;1200;1200;0.4163;0.4255;0.4607;54;151.0;elastic transform
B;123;1200;1200;0.4491;0.44;0.474;73;204.3;grid distortion
B;42;1200;1200;0.4348;0.4327;0.4683;61;167.9;grid distortion
B;456;1200;1200;0.4077;0.4084;0.4435;33;124.6;grid distortion
B;123;1200;1200;0.4337;0.4316;0.4652;65;182.3;random_brightness_contrast
B;42;1200;1200;0.4274;0.431;0.4647;74;208.1;random_brightness_contrast
B;456;1200;1200;0.409;0.4186;0.4548;41;114.2;random_brightness_contrast
B;123;1200;1200;0.4184;0.4135;0.451;60;168.2;random_gamma
B;42;1200;1200;0.3962;0.4232;0.4597;55;153.7;random_gamma
B;456;1200;1200;0.4082;0.4211;0.4575;53;149.3;random_gamma
B;123;1200;1200;0.4004;0.4025;0.4411;24;66.4;optical_distortion
B;42;1200;1200;0.4032;0.4241;0.4623;41;112.0;optical_distortion
B;456;1200;1200;0.4047;0.4233;0.4596;46;125.2;optical_distortion
B;123;1200;1200;0.423;0.4192;0.4535;43;121.3;clahe
B;42;1200;1200;0.4144;0.4164;0.4529;46;173.0;clahe
B;456;1200;1200;0.389;0.4084;0.4475;38;107.0;clahe
A;123;1200;0;0.4016;0.4167;0.4523;57;86.2;baseline - no augmentation
A;42;1200;0;0.3786;0.3988;0.4354;49;74.3;baseline - no augmentation
A;456;1200;0;0.3803;0.4089;0.4432;46;69.4;baseline - no augmentation
